event_name,referee,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url,event_date,event_city,event_state,event_country,event_url,f_1_name,f_2_name,f_1_url,f_2_url,f_1_fighter_f_name,f_1_fighter_l_name,f_1_fighter_nickname,f_1_fighter_height_cm,f_1_fighter_weight_lbs,f_1_fighter_reach_cm,f_1_fighter_stance,f_1_fighter_dob,f_1_fighter_w,f_1_fighter_l,f_1_fighter_d,f_1_fighter_nc_dq,f_1_fighter_SlpM,f_1_fighter_Str_Acc,f_1_fighter_SApM,f_1_fighter_Str_Def,f_1_fighter_TD_Avg,f_1_fighter_TD_Acc,f_1_fighter_TD_Def,f_1_fighter_Sub_Avg,f_1_fighter_url,f_2_fighter_f_name,f_2_fighter_l_name,f_2_fighter_nickname,f_2_fighter_height_cm,f_2_fighter_weight_lbs,f_2_fighter_reach_cm,f_2_fighter_stance,f_2_fighter_dob,f_2_fighter_w,f_2_fighter_l,f_2_fighter_d,f_2_fighter_nc_dq,f_2_fighter_SlpM,f_2_fighter_Str_Acc,f_2_fighter_SApM,f_2_fighter_Str_Def,f_2_fighter_TD_Avg,f_2_fighter_TD_Acc,f_2_fighter_TD_Def,f_2_fighter_Sub_Avg,f_2_fighter_url,f_1_ranking,f_2_ranking
UFC Fight Night: Hooker vs. Parnasse,Marc Goddard,Fabia Sintes,3.0,False,Flyweight,M,Decision - Unanimous,Karim Shimi 28 - 29. Eric Colon 28 - 29. Anders Ohlsson 27 - 29.,3,5:00,http://ufcstats.com/fight-details/1f973e21581b082a,2026-09-05,Paris,Ile-de-France,France,http://ufcstats.com/event-details/2144954270be834d,Fabia Sintes,Michael Aljarouj,http://ufcstats.com/fighter-details/9911989cf48b195d,http://ufcstats.com/fighter-details/22e3458965d5d08a,Fabia,Sintes,El Potro Menorquin,170.18,125.0,165.1,Orthodox,1994-07-27,12,3,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9911989cf48b195d,Michael,Aljarouj,The Soldier,165.1,125.0,167.64,Orthodox,1997-08-21,13,4,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/22e3458965d5d08a,,
UFC Fight Night: Hooker vs. Parnasse,Christophe Chapuis,Nora Cornolle,3.0,False,Women's Bantamweight,F,Decision - Unanimous,Damien Gluski 27 - 30. Ben Cartlidge 27 - 30. David Lethaby 27 - 30.,3,5:00,http://ufcstats.com/fight-details/809ebb0cfdd01ce2,2026-09-05,Paris,Ile-de-France,France,http://ufcstats.com/event-details/2144954270be834d,Nora Cornolle,Klaudia Sygula,http://ufcstats.com/fighter-details/f2b3f4ef3f780168,http://ufcstats.com/fighter-details/9f5e3c20ce40b344,Nora,Cornolle,,170.18,135.0,170.18,Orthodox,1989-12-06,10,4,0,,2.73,0.55,2.04,0.56,0.22,0.11,0.47,0.2,http://ufcstats.com/fighter-details/f2b3f4ef3f780168,Klaudia,Sygula,,172.72,135.0,175.26,Orthodox,1998-12-30,8,3,0,,7.27,0.48,5.5,0.56,0.41,0.12,0.4,0.0,http://ufcstats.com/fighter-details/9f5e3c20ce40b344,,
UFC Fight Night: Hooker vs. Parnasse,Mohamed Khamallah,Matthieu Duclos,3.0,False,Middleweight,M,KO/TKO,Punch to Head At Distance,1,4:35,http://ufcstats.com/fight-details/e5fd7ef7ccf955b8,2026-09-05,Paris,Ile-de-France,France,http://ufcstats.com/event-details/2144954270be834d,Matthieu Duclos,Luis Felipe Dias,http://ufcstats.com/fighter-details/ec322adbabbfa6e7,http://ufcstats.com/fighter-details/33a86e839ad202d8,Matthieu,Duclos,,190.5,185.0,193.04,Orthodox,1995-04-04,11,3,0,,3.93,0.37,6.81,0.46,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/ec322adbabbfa6e7,Luis,Felipe Dias,,177.8,185.0,187.96,,1995-01-17,18,6,0,,2.86,0.45,2.71,0.55,4.52,0.57,0.66,1.1,http://ufcstats.com/fighter-details/33a86e839ad202d8,,
UFC Fight Night: Hooker vs. Parnasse,Mourad Benseghir,Delphine Benouaich,3.0,False,Women's Strawweight,F,Submission,Rear Naked Choke,2,4:22,http://ufcstats.com/fight-details/9226a13d001b49ec,2026-09-05,Paris,Ile-de-France,France,http://ufcstats.com/event-details/2144954270be834d,Delphine Benouaich,Sofia Montenegro,http://ufcstats.com/fighter-details/3138df4d117ebc12,http://ufcstats.com/fighter-details/8b1b051038354655,Delphine,Benouaich,,160.02,115.0,160.02,Orthodox,1995-03-21,8,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/3138df4d117ebc12,Sofia,Montenegro,La Bruja,167.64,115.0,170.18,Orthodox,1999-06-18,6,3,0,,4.27,0.4,5.67,0.48,1.0,0.25,1.0,0.0,http://ufcstats.com/fighter-details/8b1b051038354655,,
UFC Fight Night: Nurmagomedov vs. Song,Marc Goddard,Song Yadong,5.0,False,Bantamweight,M,KO/TKO,Punch to Head At Distance,2,1:48,http://ufcstats.com/fight-details/228fefc6923c40a5,2026-08-29,Shanghai,,China,http://ufcstats.com/event-details/9d61d8cb1c354867,Song Yadong,Umar Nurmagomedov,http://ufcstats.com/fighter-details/efb96bf3e9ada36f,http://ufcstats.com/fighter-details/2b6fc1c02736833d,Song,Yadong,Kung Fu Kid,172.72,135.0,170.18,Orthodox,1997-12-02,24,9,1,1.0,4.34,0.43,3.81,0.55,0.82,0.41,0.73,0.2,http://ufcstats.com/fighter-details/efb96bf3e9ada36f,Umar,Nurmagomedov,,172.72,135.0,175.26,Orthodox,1996-01-03,20,2,0,,3.86,0.56,1.86,0.61,4.03,0.46,0.79,0.2,http://ufcstats.com/fighter-details/2b6fc1c02736833d,,
UFC Fight Night: Nurmagomedov vs. Song,Herb Dean,Denise Gomes,3.0,False,Women's Strawweight,F,KO/TKO,Elbow to Head At Distance,1,4:49,http://ufcstats.com/fight-details/73cb6c4e060c4ee9,2026-08-29,Shanghai,,China,http://ufcstats.com/event-details/9d61d8cb1c354867,Denise Gomes,Yan Xiaonan,http://ufcstats.com/fighter-details/cffb87059e645bd1,http://ufcstats.com/fighter-details/c41d426cc7326d1b,Denise,Gomes,Dee,157.48,115.0,160.02,Orthodox,1999-12-30,13,3,0,,4.43,0.49,3.16,0.51,1.45,0.34,0.66,0.7,http://ufcstats.com/fighter-details/cffb87059e645bd1,Yan,Xiaonan,,165.1,115.0,160.02,Orthodox,1989-06-16,19,6,0,1.0,4.69,0.45,3.23,0.6,0.84,0.73,0.64,0.0,http://ufcstats.com/fighter-details/c41d426cc7326d1b,,
UFC Fight Night: Nurmagomedov vs. Song,Vitor Ribeiro,Kai Asakura,3.0,False,Bantamweight,M,KO/TKO,Punches to Head At Distance,2,0:34,http://ufcstats.com/fight-details/4af8cb715ac0d459,2026-08-29,Shanghai,,China,http://ufcstats.com/event-details/9d61d8cb1c354867,Kai Asakura,Aoriqileng,http://ufcstats.com/fighter-details/d33da8a3d82bdb62,http://ufcstats.com/fighter-details/7d420039bbfe7c1a,Kai,Asakura,,172.72,135.0,175.26,Orthodox,1993-10-31,23,6,0,,2.53,0.34,3.34,0.52,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/d33da8a3d82bdb62,Aoriqileng,,The Mongolian Murderer,170.18,135.0,175.26,Orthodox,1993-06-25,26,14,0,1.0,4.4,0.49,5.66,0.46,1.11,0.46,0.59,0.2,http://ufcstats.com/fighter-details/7d420039bbfe7c1a,,
UFC Fight Night: Nurmagomedov vs. Song,Marc Goddard,Sumudaerji,3.0,False,Flyweight,M,Decision - Unanimous,Ben Cartlidge 28 - 29. Vito Paolillo 28 - 29. Clemens Werner 28 - 29.,3,5:00,http://ufcstats.com/fight-details/48a5d9c4592d2f2a,2026-08-29,Shanghai,,China,http://ufcstats.com/event-details/9d61d8cb1c354867,Sumudaerji,Alex Perez,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3,http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f,Sumudaerji,,The Tibetan Eagle,172.72,125.0,182.88,Southpaw,1996-01-20,20,7,0,1.0,4.4,0.5,2.29,0.63,0.76,0.37,0.73,0.5,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3,Alex,Perez,,167.64,125.0,165.1,Orthodox,1992-03-21,26,11,0,1.0,4.22,0.45,3.24,0.58,2.07,0.45,0.74,0.8,http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f,,
UFC Fight Night: Nurmagomedov vs. Song,Herb Dean,Liu Ce,3.0,False,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,1,4:26,http://ufcstats.com/fight-details/f894989058f2bb05,2026-08-29,Shanghai,,China,http://ufcstats.com/event-details/9d61d8cb1c354867,Liu Ce,Levi Rodrigues Jr.,http://ufcstats.com/fighter-details/a9936818d709e2d7,http://ufcstats.com/fighter-details/9ac4e43ed56429ed,Liu,Ce,The Oriental Dragon,190.5,205.0,195.58,Orthodox,1996-09-04,4,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/a9936818d709e2d7,Levi,Rodrigues Jr.,Baby Monster,182.88,205.0,193.04,Orthodox,1996-10-15,5,2,0,1.0,2.6,0.5,4.6,0.29,0.0,0.0,0.57,0.0,http://ufcstats.com/fighter-details/9ac4e43ed56429ed,,
UFC Fight Night: Nurmagomedov vs. Song,Vitor Ribeiro,Bilal Hasan,3.0,False,Flyweight,M,KO/TKO,Punch to Head At Distance,2,2:28,http://ufcstats.com/fight-details/1fe768d599c159dc,2026-08-29,Shanghai,,China,http://ufcstats.com/event-details/9d61d8cb1c354867,Bilal Hasan,Nilson Rojas,http://ufcstats.com/fighter-details/5182316da3c1d891,http://ufcstats.com/fighter-details/bf60dd3256801649,Bilal,Hasan,The IndoNinja,170.18,125.0,177.8,Switch,2001-07-16,10,0,0,1.0,28.0,0.8,4.0,0.57,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/5182316da3c1d891,Nilson,Rojas,El Rayo,167.64,125.0,160.02,Orthodox,1999-04-21,9,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/bf60dd3256801649,,
UFC Fight Night: Nurmagomedov vs. Song,Steve Perceval,Andre Lima,3.0,False,Flyweight,M,Submission,Guillotine Choke After Drop to Guard,3,3:03,http://ufcstats.com/fight-details/80f7f5405d5ffca0,2026-08-29,Shanghai,,China,http://ufcstats.com/event-details/9d61d8cb1c354867,Andre Lima,Namsrai Batbayar,http://ufcstats.com/fighter-details/b1f21ce050035d58,http://ufcstats.com/fighter-details/e1f8beeb6d2d871a,Andre,Lima,Mascote,170.18,125.0,170.18,Orthodox,1999-02-04,12,1,0,,3.94,0.56,2.66,0.58,1.11,0.6,0.75,0.9,http://ufcstats.com/fighter-details/b1f21ce050035d58,Namsrai,Batbayar,Steppe Warrior,162.56,125.0,172.72,Orthodox,2000-12-29,10,2,0,,4.44,0.45,3.42,0.48,2.85,0.3,1.0,0.9,http://ufcstats.com/fighter-details/e1f8beeb6d2d871a,,
UFC Fight Night: Nurmagomedov vs. Song,Matt Wynne,Rei Tsuruya,3.0,False,Flyweight,M,Submission,Rear Naked Choke,1,4:14,http://ufcstats.com/fight-details/ec5281a72f09d8ac,2026-08-29,Shanghai,,China,http://ufcstats.com/event-details/9d61d8cb1c354867,Rei Tsuruya,Kevin Borjas,http://ufcstats.com/fighter-details/2f43a3e82661fa99,http://ufcstats.com/fighter-details/34b96d52db1d26e6,Rei,Tsuruya,,167.64,125.0,172.72,Orthodox,2002-06-22,12,1,0,,2.4,0.53,1.91,0.43,5.03,0.37,0.5,2.0,http://ufcstats.com/fighter-details/2f43a3e82661fa99,Kevin,Borjas,El Gallo Negro,165.1,125.0,172.72,Orthodox,1997-12-06,11,6,0,,3.87,0.42,5.27,0.5,0.0,0.0,0.72,0.0,http://ufcstats.com/fighter-details/34b96d52db1d26e6,,
UFC Fight Night: Nurmagomedov vs. Song,Marc Goddard,Sean Woodson,3.0,False,Featherweight,M,Decision - Split,Vito Paolillo 28 - 29. Clemens Werner 29 - 28. Cezary Wojciechowski 28 - 29.,3,5:00,http://ufcstats.com/fight-details/8a980234dab7ae43,2026-08-29,Shanghai,,China,http://ufcstats.com/event-details/9d61d8cb1c354867,Sean Woodson,Jack Jenkins,http://ufcstats.com/fighter-details/4682bc59d5f55145,http://ufcstats.com/fighter-details/a9da3158dd2c2b5a,Sean,Woodson,The Sniper,187.96,145.0,198.12,Orthodox,1992-06-07,14,2,1,,5.57,0.46,4.18,0.58,0.58,0.55,0.84,0.3,http://ufcstats.com/fighter-details/4682bc59d5f55145,Jack,Jenkins,Phar,170.18,145.0,172.72,Switch,1993-11-03,14,5,0,,4.48,0.61,2.95,0.59,1.98,0.6,0.71,0.2,http://ufcstats.com/fighter-details/a9da3158dd2c2b5a,,
UFC Fight Night: Nurmagomedov vs. Song,Herb Dean,Francesco Nuzzi,3.0,False,Bantamweight,M,KO/TKO,Punches to Head On Ground,1,1:00,http://ufcstats.com/fight-details/636867bbc9f96739,2026-08-29,Shanghai,,China,http://ufcstats.com/event-details/9d61d8cb1c354867,Francesco Nuzzi,Xiao Long,http://ufcstats.com/fighter-details/874cfc98877daecd,http://ufcstats.com/fighter-details/86bace9e4ad85542,Francesco,Nuzzi,Berserker,167.64,135.0,180.34,Southpaw,1996-08-28,12,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/874cfc98877daecd,Xiao,Long,,172.72,135.0,177.8,Orthodox,1998-04-13,27,12,0,,5.06,0.47,3.85,0.5,0.74,0.27,0.82,0.0,http://ufcstats.com/fighter-details/86bace9e4ad85542,,
UFC Fight Night: Nurmagomedov vs. Song,Vitor Ribeiro,Hector Santiago,3.0,False,Bantamweight,M,KO/TKO,Punch to Head At Distance,2,0:53,http://ufcstats.com/fight-details/ab5922e10699e869,2026-08-29,Shanghai,,China,http://ufcstats.com/event-details/9d61d8cb1c354867,Hector Santiago,Lawrence Lui,http://ufcstats.com/fighter-details/8e4902b4a8045070,http://ufcstats.com/fighter-details/a1ad35b98a9136e5,Hector,Santiago,,165.1,135.0,172.72,Orthodox,1993-03-21,7,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8e4902b4a8045070,Lawrence,Lui,Lok Yin,170.18,135.0,182.88,Orthodox,1996-08-04,8,2,0,,3.72,0.39,3.32,0.6,5.3,0.4,1.0,0.0,http://ufcstats.com/fighter-details/a1ad35b98a9136e5,,
UFC Fight Night: Nurmagomedov vs. Song,Steve Perceval,Julia Polastri,3.0,False,Women's Strawweight,F,KO/TKO,Kick to Head At Distance,1,3:06,http://ufcstats.com/fight-details/6206c62fc8f0b71b,2026-08-29,Shanghai,,China,http://ufcstats.com/event-details/9d61d8cb1c354867,Julia Polastri,Xiong Jingnan,http://ufcstats.com/fighter-details/abb68e3c7ca128f2,http://ufcstats.com/fighter-details/2cdb479a0ef0ee1d,Julia,Polastri,Psycho,157.48,115.0,160.02,Orthodox,1998-03-05,15,6,0,,6.22,0.56,5.18,0.59,0.62,0.8,0.57,0.3,http://ufcstats.com/fighter-details/abb68e3c7ca128f2,Xiong,Jingnan,The Panda,162.56,115.0,160.02,Switch,1988-01-12,19,4,0,,4.53,0.34,8.13,0.38,0.0,0.0,0.75,0.0,http://ufcstats.com/fighter-details/2cdb479a0ef0ee1d,,
UFC Fight Night: Nurmagomedov vs. Song,Matt Wynne,Cam Nelson,3.0,False,Welterweight,M,Decision - Unanimous,Paul Barton 28 - 29. Ben Cartlidge 28 - 29. Clemens Werner 28 - 29.,3,5:00,http://ufcstats.com/fight-details/6cd4457edf4089f9,2026-08-29,Shanghai,,China,http://ufcstats.com/event-details/9d61d8cb1c354867,Cam Nelson,Ding Meng,http://ufcstats.com/fighter-details/34d4cae19105eb68,http://ufcstats.com/fighter-details/e0664abaa023fd6f,Cam,Nelson,,180.34,170.0,182.88,Orthodox,1998-07-28,8,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/34d4cae19105eb68,Ding,Meng,,187.96,170.0,185.42,Orthodox,1994-09-27,35,11,0,,3.8,0.45,4.33,0.51,0.5,0.5,0.0,0.0,http://ufcstats.com/fighter-details/e0664abaa023fd6f,,
UFC Fight Night: Hernandez vs. Rodrigues,Herb Dean,Gregory Rodrigues,5.0,False,Middleweight,M,Decision - Unanimous,Derek Cleary 47 - 48. Chris Leben 46 - 49. Ron McCarthy 47 - 48.,5,5:00,http://ufcstats.com/fight-details/fb77b08a90b92d5b,2026-08-22,Sacramento,California,USA,http://ufcstats.com/event-details/a0a69dc9914ef6e1,Gregory Rodrigues,Anthony Hernandez,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,http://ufcstats.com/fighter-details/093e1f5bb73850be,Gregory,Rodrigues,Robocop,190.5,185.0,190.5,Orthodox,1992-02-17,20,6,0,,5.53,0.51,4.78,0.5,1.9,0.34,0.75,0.4,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,Anthony,Hernandez,Fluffy,182.88,185.0,190.5,Orthodox,1993-10-18,15,4,0,1.0,4.57,0.6,3.1,0.51,5.88,0.48,0.68,1.6,http://ufcstats.com/fighter-details/093e1f5bb73850be,11.0,6.0
